Titre,Descriptif,Description,Prix,Categorie,Etiquette,Lien
"""LAB619 N°6""","""Poids: 0.350 KG
Dimensions: 29.7 × 42 × 3 CM
Artiste: LAB619
Pays: TUNISIE / TUNISIA""","""Un numéro rare qui tends à disparaître le N 6 du LAB619 édition 2016
Dans ce numéro 6, l’équipe s’est attelée à donner sa vision de la Tunisie.
Edité en 2016 , le numéro est maintenant considéré comme une denrée rare, puisqu’il n’en reste plus qu’une dizaine dans le monde et nous en détenons 5.
Alors qu’attendez-vous pour compléter votre collection, en effet les numéros du Lab619 sont toujours imprimés en quantité limitée.""","""8""","""LIVRES""","""BASIC"""," ""https://www.artforness.com/produit/lab619-n6/"""
"""LAB619 N°7""","""Poids: 0.350 KG
Dimensions: 29.7 × 42 × 3 CM
Artiste: LAB619
Pays: TUNISIE / TUNISIA""","""Un numéro rare qui tends à disparaître le N 6 du LAB619 édition 2016
Dans ce numéro 6, l’équipe s’est attelée à donner sa vision de la Tunisie.
Dis-moi qu’est ce qu’une frontière?
Une question dans l’air du temps pour ce 7éme numéro du Lab619. Un numéro édité en 2017 et pourtant toujours d’actualité dans un monde où les frontières ont tendance à disparaître et sont paradoxalement plus présentes que jamais. Alors qu’attendez-vous pour compléter votre collection.""","""8""","""LIVRES""","""BASIC"""," ""https://www.artforness.com/produit/lab619-n7/"""
"""LAB619 N°8""","""Poids: 0.450 KG
Dimensions: 29.7 × 32 × 4 CM
Artiste: LAB619
Pays: TUNISIE / TUNISIA""","""Un numéro spécial qui traite d’un sujet d’actualité: la migration
Dans ce numéro 8, l’équipe s’est entouré d’artistes libanais, égyptiens ou encore Algériens pour traiter d’un sujet universel. .
Hijra , un numéro spécial du Lab619, incluant le travail de plusieurs artistes de bandes dessinées de la scène Nords Africaines et Moyennes Orientales puisqu’on compte parmi les participants Barrack Ryma du liban ou Migo d’Egypte .
Le numéro traîte d’un sujet brulant qu’est la migration.Il est d’autant plus important que de voir la vision des artistes des payons victimes d’exode.""","""15""","""LIVRES""","""BASIC"""," ""https://www.artforness.com/produit/lab619-n8/"""
"""LAB619 N°9""","""Poids: 0.250 KG
Dimensions: 27 × 20 CM
Artiste: LAB619
Pays: TUNISIE / TUNISIA""","""Un numéro haut en couleur à découvrir absolument.
Dans ce numéro 9, l’équipe s’est attelée à exprimer ce que le mot identité peut signifier pour chacun de nous.
Une pure pépite à découvrir d’urgence.
Le mot “identités” avec toutes ses acceptations, a offert,aux bédéistes une liberté de création révélatrice de l’importance accordée à l’appartenance et à la distinction dans nos sociétés.
Un mot, des réflexions, une résidence de création qui a eu lieu à Dar Eyquem avec la présence collaborative du bédéiste allemand Max Baitinger.Et puis surtout des échanges, des scénarios, des dessins, un risographe et puis des planches.
Les artistes du LAB619 qui ont alors participé à ce numéro et pour ne citer qu’eux: Smiri Issam, Kamal Zakkour, Moez Tabia, Lamia, Max, Noha Habaieb, Salim Zerrouki, Sara et Sid Ali Dekar.""","""8""","""LIVRES""","""BASIC"""," ""https://www.artforness.com/produit/lab619-n9/"""
"""Le chat s’en fout""","""Dimensions: 29.7 × 42 CM
Artiste: ATELIER GLIBETT, ZEINEB BEN HAOUALA
Pays: TUNISIE / TUNISIA
Technique: PRINT/ IMPRESSION NUMÉRIQUE""","""Edition limitée à 50 exemplaires.
Format 29.7 x 42 cm.
Impression pigmentaire sur Canson Edition Etching Rag 310 gr.
Accompagné d’un certificat d’authenticité numéroté et signé à la main par l’Artiste.
Dans ce dessin original, Zeineb Ben Haouala a joliment illustré, tout en couleurs l’identité culturelle tunisienne, qui est si éclectique et riche. Une fois loin du regard de la société, ainsi que le poid pesant des traditions, le mari prend bien soin de sa femme sous le regard bienveillant du patriarche.
L’oeuvre a été d’ailleurs sélectionné pour être finaliste du concours drawing4equality, qui est organisé par The Euro-Mediterranean Women’s Foundation (FFEM), et the European Institute of the Mediterranean (IEMed).""","""80""","""ILLUSTRATIONS""","""BASIC"""," ""https://www.artforness.com/produit/le-chat-sen-fout/"""
"""Le Pain nu""","""Poids: 0.31 KG
Dimensions: 27 × 20 CM
Artiste: ABDELAZIZ MOURIDE
Pays: MAROC / MOROCCO""","""Pour la 1er fois en France et en Europe, l’adaptation du célèbre roman de Mohamed Choukri “Le Pain Nu” en Bande Dessinée, par le pionner du genre au Maroc le non moins talentueux Abdelaziz Mourid.
Le Pain nu est le récit d’une enfance qui n’a pas eu lieu. Celle de Mohamed Choukri, marquée par la pauvreté et l’exil dans le nord du Maroc sous le joug du protectorat. La famine, la fuite d’un père violent, les nuits à la belle étoile dans les bas-fonds de Tanger, la combine, le vin, le kif, le sexe… Mohamed Choukri fait très tôt l’apprentissage de la survie. Il connaîtra aussi la prison. C’est là, aux côtés des détenus politiques, qu’à l’âge de vingt ans il apprendra à lire et à écrire. De l’intérieur de sa cellule, il nous livre ici son récit autobiographique, celui d’une revanche sur le destin, qui dévoile comme jamais auparavant une autre histoire du pays, faite par les gens de la misère et d’exclusion.""","""20""","""LIVRES""","""BASIC"""," ""https://www.artforness.com/produit/le-pain-nu/"""
"""Le parfum de la dame en vert""","""Poids: 0.250 KG
Dimensions: 35 × 50 CM
Artiste: SADRI KHIARI
Pays: TUNISIE / TUNISIA
Technique: PRINT/ IMPRESSION NUMÉRIQUE""","""Edition limitée à 30 exemplaires
Format 35 x 50 cm
Impression pigmentaire sur Canson Edition Etching Rag 310 gr
Dessin numéroté et signé à la main par l’Artiste
Accompagné d’un certificat d’authenticité
Le pied, si souvent sous estimé et pas reconnu à sa juste valeur.
Ainsi Sadri Khiari lui rends hommage à travers ce détail.Le jeu des couleurs est mis au service de l’oeuvre afin de la sublimer.
Créant une mystérieuse aura autour de cette dame.""","""90""","""ILLUSTRATIONS""","""BASIC"""," ""https://www.artforness.com/produit/le-parfum-de-la-dame-en-vert/"""
"""Lost""","""Poids: 0.500 KG
Dimensions: 50 × 70 CM
Artiste: DZART16
Pays: ALGÉRIE / ALGERIA
Technique: PRINT/ IMPRESSION NUMÉRIQUE""","""Edition limitée à 50 exemplaires.
Format 50x 70cm.
Impression pigmentaire sur Canson Edition Etching Rag 310 gr.
Accompagné d’un certificat d’authenticité numéroté et signé à la main par l’Artiste.
“Lost” fait partie d’un triptyque imaginé par l’artiste Dzart16 autour de l’immigration et de l’identité.C’est une histoire en trois actes, le 1er a été imaginé et dessiné dans l’œuvre “My Hood”.Nous assistons ici au 2eme acte, nous avons changé et notre quartier aussi, les questions se multiplient mais pas forcément les solutions.""","""190""","""ILLUSTRATIONS""","""BASIC"""," ""https://www.artforness.com/produit/lost/"""
"""Mercerie""","""Dimensions: 29.7 × 42 CM
Artiste: ATELIER GLIBETT, ZEINEB BEN HAOUALA
Pays: TUNISIE / TUNISIA
Technique: PRINT/ IMPRESSION NUMÉRIQUE""","""Edition limitée à 50 exemplaires.
Format 29.7 x 42 cm.
Impression pigmentaire sur Canson Edition Etching Rag 310 gr.
Accompagné d’un certificat d’authenticité numéroté et signé à la main par l’Artiste.
Mercerie, ou “Bidoun Ilhah”, est un dessin de l’artiste Zeineb Ben Haouala et il fait référence aux petites échoppes classiques des souks de la Médina. Le deuxième titre fait référence aux rituels de négociation au moment de l’acte d’achats et de la volonté affichée du vendeur de ne pas céder. Ce dessin nous emmène directement dans les petites merceries des souks de la médina débordent de couleur et de petits paquets pleins de trésors de tous les temps.""","""80""","""ILLUSTRATIONS""","""BASIC""","""https://www.artforness.com/produit/mercerie/"" "
"""My Hood""","""Poids: 0.500 KG
Dimensions: 50 × 70 CM
Artiste: DZART16
Pays: ALGÉRIE / ALGERIA
Technique: PRINT/ IMPRESSION NUMÉRIQUE""","""Edition limitée à 50 exemplaires.
Format 50x 70cm.
Impression pigmentaire sur Canson Edition Etching Rag 310 gr.
Accompagné d’un certificat d’authenticité numéroté et signé à la main par l’Artiste.
“My Hood” fait parti d’un triptyque imaginé par l’artiste Dzart autour de l’immigration et de l’identité. C’est une histoire en trois actes, qui commence par les ruelles de la médina tel qu’elle est dans nos souvenirs une médina qui pourrait être à Alger comme à Tunis ou Casa.""","""190""",ILLUSTRATIONS,"""BASIC"""," ""https://www.artforness.com/produit/my-hood/"""
"""Om Kalthoum""","""Poids: 0.250 KG
Dimensions: 38 × 85 CM
Artiste: SEIF EDDINE NECHI
Technique: PRINT/ IMPRESSION NUMÉRIQUE
Pays: TUNISIE / TUNISIA""","""Edition limitée à 50 exemplaires
Format 38 x 85 cm
Impression pigmentaire sur Canson Edition Etching Rag 310 gr
Dessin numéroté et signé à la main par l’Artiste
Accompagné d’un certificat d’authenticité
Om Kalthoum, Maria Callas disait d’elle qu’elle avait une voix incomparable et beaucoup aussi
Seif Eddine Nechi rends hommage à l’une des divas du monde arabe les plus connus.
Les concerts de la chanteuse dans la capitale égyptienne affichaient complets jusqu’à deux ans à l’avance.""","""130""","""ILLUSTRATIONS""","""BASIC"""," ""https://www.artforness.com/produit/om-kalthoum/"""
"""Pied Piper""","""Poids: 0.250 KG
Dimensions: 29.7 × 42 CM
Artiste: DIALA BRISLY
Pays: SYRIE / SYRIA
Technique: PRINT/ IMPRESSION NUMÉRIQUE""","""Edition limitée à 50 exemplaires.
Format 29.7 cm x 42 cm.
Impression pigmentaire , qualité musée , sur papier Canson Edition Etching Rag 310 gr.
Accompagné d’un certificat d’authenticité numéroté et signé à la main par l’Artiste.
Diala Brisly , artiste syrienne engagée auprès des enfants réfugiés.
Elle dédie cette oeuvre aux enfants , en s’alliant à ArtForNess pour offrir 50% des bénéfices à l’association Zeltchule, une association allemande qui bâtit des écoles dans les camps de réfugiés au Liban.""","""90""","""ILLUSTRATIONS""","""BASIC"""," ""https://www.artforness.com/produit/pied-piper/"""
"""Prado""","""Poids: 0.250 KG
Dimensions: 29.7 × 42 CM
Artiste: SONIA BEN SALEM
Pays: TUNISIE / TUNISIA
Technique: SÉRIGRAPHIE / SILK PRINT""","""Edition limitée à 50 exemplaires.
Format 29.7 x 42 cm.
Sérigraphie sur Canson Edition Etching Rag 310 gr.
Accompagné d’un certificat d’authenticité numéroté et signé à la main par l’Artiste.
Sonia rejoint la troupe des artistes partenaires d’ArtForNess et vient renforcer l’équipe de l’Atelier Glibett avec un joli triptyque autour de la vie quotidienne Tunisienne.
La 1er scène sobrement intitulé « PRADO » dépeint un instant figé de la vie quotidienne des rues du centre-ville de Tunis. Les petits détails, tel que l’annonce de cours particuliers d’un professeur qui sait tout faire ou bien encore le vendeur de Lablébi , un plat typiquement tunisien, ne font que renforcer le réalisme tout en attendrissant les cœurs nostalgiques.
Cherchez le chat élément important du monde des Glibetts.""","""80""","""ILLUSTRATIONS""","""BASIC"""," ""https://www.artforness.com/produit/prado/"""
"""Rachid Taha Tribute Poster""","""Poids: 0.3 KG
Dimensions: 29.7 × 42 CM
Artiste: TRACY CHAHWAN
Pays: LIBAN / LEBANON
Technique: SÉRIGRAPHIE / SILK PRINT""","""Edition limitée à 30 exemplaires
Format 29.7 x 42 cm
Sérigraphie sur Canson Edition Etching Rag 310 gr
Signature Numérique
Tracy Chahwan est une artiste passionnée et passionnante.
Rendre hommage à l’un de ses chanteurs préférés fut une évidence pour celle qui aime dessiner des posters de concerts.
Ainsi Rachid Taha se retrouve à la même table au paradis que la plus connue des divas du monde Arabe Om Kalthoum.""","""40""","""ILLUSTRATIONS""","""BASIC"""," ""https://www.artforness.com/produit/rachid-taha-tribute-poster/"""
"""Skefkef N 09""","""Poids: 0.400 KG
Dimensions: 29.7 × 42 × 2 CM
Artiste: AYOUB NORMAL, SKEFKEF
Pays: MAROC / MOROCCO""","""Découvrez le dernier numéro du collectif Casablancais : Skefkef.
Un numéro 9 traitant de l’éducation au grand sens du terme.
Attention numéro exclusivement en Arabe.
Réapprovisionnement prévu dans les semaines à venir, inscrivez-vous à la newsletter , en bas de notre page, pour être tenu au courant .
Skefkef N09 est le dernier né du collectif casablancais du même nom. A travers cette revue, les amoureux de BD arabe, pourront découvrir la vision qu’a un jeune groupe d’illustrateurs sur l’éducation.
En effet, l’éducation porte sur plusieurs aspects.Nous pouvons alors parler de l’éducation à l’école, dans la rue, à la maison, à la télé, dans les livres ou encore dans les magazines.Tous ces points et d’autres encore sont traités par nos jeunes artistes. Nous comptons parmi les nombreux artistes participants dans ce numéro: Zainab Fasiki, Mehdi Annassiou encore Ayoub Normal.
En effet, vous pourrez aussi y savourer une BD de ce dernier. Avec son style reconnaissable parmi mille.Un trait fin et des références multiples qui permettent à tout un chacun d’imaginer sa propre histoire à travers ses magnifiques dessins.""
Skefkef un fanzine, qui condense des styles différents de BD arabes","""12""","""LIVRES""","""BASIC"""," ""https://www.artforness.com/produit/bd-arabe-skefkef-fanzine-n9/"""
"""Sucre et Citron""","""Poids: 0.250 KG
Dimensions: 29.7 × 42 CM
Artiste: SONIA BEN SALEM
Pays: TUNISIE / TUNISIA
Technique: SÉRIGRAPHIE / SILK PRINT""","""Edition limitée à 50 exemplaires.
Format 29.7x 42cm.
Sérigraphie sur Canson Edition Etching Rag 310 gr.
Accompagné d’un certificat d’authenticité numéroté et signé à la main par l’Artiste.
L’affiche en sérigraphie : Sucre et Citron de Sonia Ben Salem.
Le jeune illustratrice a rejoint la troupe des artistes partenaires d’ArtForNess afin de renforcer le partenariat avec l’Atelier Glibett avec un joli triptyque autour de la vie quotidienne Tunisienne.
Pour clore ce triptyque formé de trois affiches en sérigraphie , Sonia entre dans l’intimité des maisons Tunisiennes. Autour d’un rituel de beauté aussi ancestral que les murs de la médina. Ce rituel dont la recette est à base de sucre et citron et malgré l’apparition des salons de beauté a toujours sa place dans les quartiers populaires et toute mariée qui se respecte se doit d’y passer au moins une fois.""
Cherchez le chat élément important du monde des Glibetts.","""80""","""ILLUSTRATIONS""","""BASIC"""," ""https://www.artforness.com/produit/sucre-et-citron-affiche-serigrapahie/"""
"""Tamghart""","""Poids: 0.250 KG
Dimensions: 40 × 50 CM
Artiste: AYOUB NORMAL
Pays: MAROC / MOROCCO
Technique: PRINT/ IMPRESSION NUMÉRIQUE""","""Edition limitée à 50 exemplaires
Format 40 x 50 cm
Impression pigmentaire sur Canson Edition Etching Rag 310 gr
Accompagné d’un certificat d’authenticité numéroté et signé à la main par l’Artiste
Ayoub , jeune artiste marocain a d’abord peint ce dessin sur un mur de l’association L’blend.
Tiznit, la ville marocaine où se situe l’association, a été fondé selon la légende, après qu’une dame nommée Lalla Zninia (lalla = dame en dialecte marocain) et son chien aient trouvé une source d’eau, connue depuis par la “source bleue”. L’espace créatif se trouve ainsi  à quelques lieues de la source.
50% des bénéfices vont directement soutenir l’association encouragée par Ayoub : L’blend, un espace créatif et de makers.""","""115""","""ILLUSTRATIONS""","""BASIC"""," ""https://www.artforness.com/produit/tamghart/"""
"""Ya Kafer""","""Poids: 0.250 KG
Dimensions: 25 × 25 CM
Artiste: SALIM ZERROUKI
Pays: ALGÉRIE / ALGERIA
Technique: PRINT/ IMPRESSION NUMÉRIQUE""","""Edition limitée à 50 exemplaires.
Format 25 x 25cm.
Impression pigmentaire sur Canson Edition Etching Rag 310 gr.
Accompagné d’un certificat d’authenticité numéroté et signé à la main par l’Artiste.
« Ya Kafer », un tableau satirique sorti directement de l’imaginaire de notre turbulent Salim Zerrouki. Sous son coup de crayon les objets du quotidien prennent vie, et tiennent des dialogues assez burlesques ou bien se retrouvent dans des situations cocasses.
Nous amenant à sourire et à voir autrement la vie rien que pour un court instant. Pour plus de dessins vous pouvez allez faire un tour sur son site Ta7richa , casse-croûte en dialecte tunisien.""","""60""","""ILLUSTRATIONS""","""BASIC"""," ""https://www.artforness.com/produit/ya-kafer/"""
"""Laban et Confiture, ou comment ma Mère est devenue libanaise""","""Poids: 0.325 KG
Dimensions: 24 × 17 CM
Artiste: LENA MERHEJ
Pays: LIBAN / LEBANON
Nb pages: 128""","""Avec un style simple, sur un ton empli de poésie et d’humour, c’est une histoire universelle que Lena nous offre dans ce roman graphique intimiste et tout au féminin.
Un ouvrage dans lequel l’auteure nous propose une histoire de « migration renversée », loin de celles que l’on a l’habitude d’entendre de nos jours. L’histoire de sa mère, Allemande, venue s’installer au Liban dans les années 60 et confrontée au défi de trouver sa place dans une société qui n’est pas la sienne. En retraçant le parcours de cette femme, en s’interrogeant sur son identité, c’est une réflexion sur l’appartenance à une double culture que Lena Merhej nous livre. C’est également le sujet de la transmission d’une génération à l’autre qu’elle questionne au fil de ces pages où la guerre est omniprésente. Car la guerre – aussi bien la guerre civile libanaise que la deuxième guerre mondiale -, à l’instar d’un héritage légué de génération en génération, a rythmé la vie des deux femmes, mère et fille.""","""18""","""LIVRES""","""BASIC"""," ""https://www.artforness.com/produit/laban-et-confiture-ou-comment-ma-mere-est-devenue-libanaise/"""
